Eantoine (wmn2=1.8e-07) X,Eantoine (wmn2=1.8e-07) Y,Eantoine (wmn2=2.621053e-07) X,Eantoine (wmn2=2.621053e-07) Y,Eantoine (wmn2=2.368421e-07) X,Eantoine (wmn2=2.368421e-07) Y,Eantoine (wmn2=1.863158e-07) X,Eantoine (wmn2=1.863158e-07) Y,Eantoine (wmn2=1.926316e-07) X,Eantoine (wmn2=1.926316e-07) Y,Eantoine (wmn2=1.989474e-07) X,Eantoine (wmn2=1.989474e-07) Y,Eantoine (wmn2=2.052632e-07) X,Eantoine (wmn2=2.052632e-07) Y,Eantoine (wmn2=2.115789e-07) X,Eantoine (wmn2=2.115789e-07) Y,Eantoine (wmn2=2.178947e-07) X,Eantoine (wmn2=2.178947e-07) Y,Eantoine (wmn2=2.242105e-07) X,Eantoine (wmn2=2.242105e-07) Y,Eantoine (wmn2=2.305263e-07) X,Eantoine (wmn2=2.305263e-07) Y,Eantoine (wmn2=2.431579e-07) X,Eantoine (wmn2=2.431579e-07) Y,Eantoine (wmn2=2.494737e-07) X,Eantoine (wmn2=2.494737e-07) Y,Eantoine (wmn2=2.557895e-07) X,Eantoine (wmn2=2.557895e-07) Y,Eantoine (wmn2=2.684211e-07) X,Eantoine (wmn2=2.684211e-07) Y,Eantoine (wmn2=3e-07) X,Eantoine (wmn2=3e-07) Y,Eantoine (wmn2=2.936842e-07) X,Eantoine (wmn2=2.936842e-07) Y,Eantoine (wmn2=2.810526e-07) X,Eantoine (wmn2=2.810526e-07) Y,Eantoine (wmn2=2.747368e-07) X,Eantoine (wmn2=2.747368e-07) Y,Eantoine (wmn2=2.873684e-07) X,Eantoine (wmn2=2.873684e-07) Y
2.5e-07,1.894266003243362e-17,2.5e-07,2.164110861520977e-17,2.5e-07,2.080224691953986e-17,2.5e-07,1.914635561481246e-17,2.5e-07,1.935012722368023e-17,2.5e-07,1.955641058995416e-17,2.5e-07,1.976246932085781e-17,2.5e-07,1.996907201278698e-17,2.5e-07,2.017611284890917e-17,2.5e-07,2.038456870931805e-17,2.5e-07,2.059343856637826e-17,2.5e-07,2.10115091545341e-17,2.5e-07,2.122118495085956e-17,2.5e-07,2.143125747014851e-17,2.5e-07,2.185190723374963e-17,2.5e-07,2.290600036626927e-17,2.5e-07,2.269823006722911e-17,2.5e-07,2.227381306036593e-17,2.5e-07,2.20622298664062e-17,2.5e-07,2.248617006630294e-17
2.552632e-07,1.895115368515927e-17,2.552632e-07,2.16485283830321e-17,2.552632e-07,2.081053897631659e-17,2.552632e-07,1.915439739656734e-17,2.552632e-07,1.935818096674649e-17,2.552632e-07,1.956420433762862e-17,2.552632e-07,1.976963983842148e-17,2.552632e-07,1.997706612548177e-17,2.552632e-07,2.018417562851671e-17,2.552632e-07,2.039170231366017e-17,2.552632e-07,2.060115904706853e-17,2.552632e-07,2.101842431752183e-17,2.552632e-07,2.122798339551494e-17,2.552632e-07,2.143807446619405e-17,2.552632e-07,2.186030575216077e-17,2.552632e-07,2.291460630599345e-17,2.552632e-07,2.270654894695585e-17,2.552632e-07,2.228223477035622e-17,2.552632e-07,2.207144492181691e-17,2.552632e-07,2.24941299736813e-17
2.605263e-07,1.895857804860648e-17,2.605263e-07,2.165797119089373e-17,2.605263e-07,2.081802697033457e-17,2.605263e-07,1.916239985482113e-17,2.605263e-07,1.936693791738959e-17,2.605263e-07,1.957253678346217e-17,2.605263e-07,1.9777846286573e-17,2.605263e-07,1.998448448861742e-17,2.605263e-07,2.019277524019768e-17,2.605263e-07,2.040065284006475e-17,2.605263e-07,2.060918677274861e-17,2.605263e-07,2.102732322985475e-17,2.605263e-07,2.123701607703447e-17,2.605263e-07,2.144715073889177e-17,2.605263e-07,2.186883661507534e-17,2.605263e-07,2.292330946832181e-17,2.605263e-07,2.271544050469032e-17,2.605263e-07,2.229152709076075e-17,2.605263e-07,2.2079918660307e-17,2.605263e-07,2.250326654088884e-17
2.657895e-07,1.896694121809172e-17,2.657895e-07,2.166625705089487e-17,2.657895e-07,2.082625906448968e-17,2.657895e-07,1.916930717993881e-17,2.657895e-07,1.937423994626147e-17,2.657895e-07,1.957943318123807e-17,2.657895e-07,1.978659146062417e-17,2.657895e-07,1.99925434115834e-17,2.657895e-07,2.020055181805954e-17,2.657895e-07,2.040894900701869e-17,2.657895e-07,2.061733146694782e-17,2.657895e-07,2.103561358023846e-17,2.657895e-07,2.124538603671776e-17,2.657895e-07,2.145469822175797e-17,2.657895e-07,2.187712142437314e-17,2.657895e-07,2.293188401249217e-17,2.657895e-07,2.272401898758815e-17,2.657895e-07,2.229997411147452e-17,2.657895e-07,2.208839966775699e-17,2.657895e-07,2.251186322789474e-17
2.710526e-07,1.897359879964221e-17,2.710526e-07,2.167406439529201e-17,2.710526e-07,2.083366857674058e-17,2.710526e-07,1.917815154396449e-17,2.710526e-07,1.938267872735693e-17,2.710526e-07,1.958733363931394e-17,2.710526e-07,1.979366007263106e-17,2.710526e-07,2.000146643302372e-17,2.710526e-07,2.020860732591765e-17,2.710526e-07,2.041610560947618e-17,2.710526e-07,2.06248057019752e-17,2.710526e-07,2.104288029034693e-17,2.710526e-07,2.125302828628824e-17,2.710526e-07,2.14638621269896e-17,2.710526e-07,2.18847011315606e-17,2.710526e-07,2.294020695059651e-17,2.710526e-07,2.273207934562527e-17,2.710526e-07,2.230754892158083e-17,2.710526e-07,2.209596955375895e-17,2.710526e-07,2.251966879347562e-17
2.763158e-07,1.898212397264282e-17,2.763158e-07,2.168343662720291e-17,2.763158e-07,2.084165655628669e-17,2.763158e-07,1.918530703720791e-17,2.763158e-07,1.938989025040198e-17,2.763158e-07,1.95968375674346e-17,2.763158e-07,1.980156393940594e-17,2.763158e-07,2.000990696035025e-17,2.763158e-07,2.021679767090193e-17,2.763158e-07,2.042460928300089e-17,2.763158e-07,2.063279453377113e-17,2.763158e-07,2.105185819978694e-17,2.763158e-07,2.126085518317092e-17,2.763158e-07,2.14720405694156e-17,2.763158e-07,2.189442701538637e-17,2.763158e-07,2.294732612819363e-17,2.763158e-07,2.273929078235798e-17,2.763158e-07,2.231735115439789e-17,2.763158e-07,2.210574323247434e-17,2.763158e-07,2.25269548405713e-17
2.815789e-07,1.898886490968045e-17,2.815789e-07,2.168942993169069e-17,2.815789e-07,2.085130284633206e-17,2.815789e-07,1.919262666728828e-17,2.815789e-07,1.939748695813335e-17,2.815789e-07,1.960310883287571e-17,2.815789e-07,1.980942218410074e-17,2.815789e-07,2.001770289105153e-17,2.815789e-07,2.022464670001566e-17,2.815789e-07,2.043274780351645e-17,2.815789e-07,2.064115681802279e-17,2.815789e-07,2.105864799763692e-17,2.815789e-07,2.126836632452548e-17,2.815789e-07,2.14787916530906e-17,2.815789e-07,2.190037978696411e-17,2.815789e-07,2.295684343205238e-17,2.815789e-07,2.274881474242554e-17,2.815789e-07,2.23235043087318e-17,2.815789e-07,2.211177619358304e-17,2.815789e-07,2.253551752537452e-17
2.868421e-07,1.89967251269561e-17,2.868421e-07,2.169823935019616e-17,2.868421e-07,2.08576452233415e-17,2.868421e-07,1.920048742335091e-17,2.868421e-07,1.940607501769332e-17,2.868421e-07,1.961212896308569e-17,2.868421e-07,1.981722321274152e-17,2.868421e-07,2.002562179413628e-17,2.868421e-07,2.023272845524356e-17,2.868421e-07,2.044054960430353e-17,2.868421e-07,2.064854997101671e-17,2.868421e-07,2.106719206101117e-17,2.868421e-07,2.127716895538278e-17,2.868421e-07,2.148751878102582e-17,2.868421e-07,2.190932068671975e-17,2.868421e-07,2.296514713422355e-17,2.868421e-07,2.275716048657202e-17,2.868421e-07,2.233280759529618e-17,2.868421e-07,2.212106722442552e-17,2.868421e-07,2.254484889983179e-17
2.921053e-07,1.900420956118228e-17,2.921053e-07,2.170667143569656e-17,2.921053e-07,2.086589649012166e-17,2.921053e-07,1.920829591396595e-17,2.921053e-07,1.941423113356076e-17,2.921053e-07,1.961864972617883e-17,2.921053e-07,1.982498239337683e-17,2.921053e-07,2.003201398375595e-17,2.921053e-07,2.023963680014997e-17,2.921053e-07,2.044779336852153e-17,2.921053e-07,2.065648566004129e-17,2.921053e-07,2.107465890630384e-17,2.921053e-07,2.12854475052497e-17,2.921053e-07,2.149590234912758e-17,2.921053e-07,2.191778320254867e-17,2.921053e-07,2.297409741618599e-17,2.921053e-07,2.276611109560402e-17,2.921053e-07,2.234100190346753e-17,2.921053e-07,2.212923661636152e-17,2.921053e-07,2.255307499576103e-17
2.973684e-07,1.901336176488068e-17,2.973684e-07,2.171549377721072e-17,2.973684e-07,2.087295048557718e-17,2.973684e-07,1.921598585294292e-17,2.973684e-07,1.942215077873018e-17,2.973684e-07,1.962632017700841e-17,2.973684e-07,1.983408315301845e-17,2.973684e-07,2.004108345217859e-17,2.973684e-07,2.024746852736034e-17,2.973684e-07,2.045568263338635e-17,2.973684e-07,2.066586022955767e-17,2.973684e-07,2.108469655619664e-17,2.973684e-07,2.129421942743701e-17,2.973684e-07,2.150469804728263e-17,2.973684e-07,2.192664216157425e-17,2.973684e-07,2.298257995415266e-17,2.973684e-07,2.277438639042337e-17,2.973684e-07,2.234991276687262e-17,2.973684e-07,2.213813312738692e-17,2.973684e-07,2.256196883984126e-17
