Eyves (wmn2=1.8e-07) X,Eyves (wmn2=1.8e-07) Y,Eyves (wmn2=1.863158e-07) X,Eyves (wmn2=1.863158e-07) Y,Eyves (wmn2=1.926316e-07) X,Eyves (wmn2=1.926316e-07) Y,Eyves (wmn2=1.989474e-07) X,Eyves (wmn2=1.989474e-07) Y,Eyves (wmn2=2.052632e-07) X,Eyves (wmn2=2.052632e-07) Y,Eyves (wmn2=2.115789e-07) X,Eyves (wmn2=2.115789e-07) Y,Eyves (wmn2=2.178947e-07) X,Eyves (wmn2=2.178947e-07) Y,Eyves (wmn2=2.242105e-07) X,Eyves (wmn2=2.242105e-07) Y,Eyves (wmn2=2.305263e-07) X,Eyves (wmn2=2.305263e-07) Y,Eyves (wmn2=2.368421e-07) X,Eyves (wmn2=2.368421e-07) Y,Eyves (wmn2=2.431579e-07) X,Eyves (wmn2=2.431579e-07) Y,Eyves (wmn2=2.494737e-07) X,Eyves (wmn2=2.494737e-07) Y,Eyves (wmn2=2.557895e-07) X,Eyves (wmn2=2.557895e-07) Y,Eyves (wmn2=2.621053e-07) X,Eyves (wmn2=2.621053e-07) Y,Eyves (wmn2=2.684211e-07) X,Eyves (wmn2=2.684211e-07) Y,Eyves (wmn2=2.747368e-07) X,Eyves (wmn2=2.747368e-07) Y,Eyves (wmn2=2.810526e-07) X,Eyves (wmn2=2.810526e-07) Y,Eyves (wmn2=2.873684e-07) X,Eyves (wmn2=2.873684e-07) Y,Eyves (wmn2=2.936842e-07) X,Eyves (wmn2=2.936842e-07) Y,Eyves (wmn2=3e-07) X,Eyves (wmn2=3e-07) Y
2.5e-07,2.220124619244558e-17,2.5e-07,2.220131732926801e-17,2.5e-07,2.220109996770855e-17,2.5e-07,2.220153019863343e-17,2.5e-07,2.220159365283808e-17,2.5e-07,2.220161952766688e-17,2.5e-07,2.220156027933274e-17,2.5e-07,2.220158408196275e-17,2.5e-07,2.220208129566953e-17,2.5e-07,2.220214997511594e-17,2.5e-07,2.220223098216149e-17,2.5e-07,2.220231445951919e-17,2.5e-07,2.220240217324035e-17,2.5e-07,2.220202591291279e-17,2.5e-07,2.220208349192669e-17,2.5e-07,2.220202571927953e-17,2.5e-07,2.220219386573008e-17,2.5e-07,2.220245916255707e-17,2.5e-07,2.22025560836196e-17,2.5e-07,2.220262973005551e-17
2.552632e-07,2.220188700721786e-17,2.552632e-07,2.220160452208708e-17,2.552632e-07,2.220137384644651e-17,2.552632e-07,2.220170221840555e-17,2.552632e-07,2.220155816851255e-17,2.552632e-07,2.220181132577515e-17,2.552632e-07,2.220175616146282e-17,2.552632e-07,2.220177013972381e-17,2.552632e-07,2.220191085297748e-17,2.552632e-07,2.220239945477461e-17,2.552632e-07,2.220187604705125e-17,2.552632e-07,2.22020150317596e-17,2.552632e-07,2.220211583192149e-17,2.552632e-07,2.220222253623714e-17,2.552632e-07,2.220241317328917e-17,2.552632e-07,2.220246207941265e-17,2.552632e-07,2.220242111781903e-17,2.552632e-07,2.22025127045082e-17,2.552632e-07,2.220275639028811e-17,2.552632e-07,2.220292675949615e-17
2.605263e-07,2.220170596042776e-17,2.605263e-07,2.22017568261501e-17,2.605263e-07,2.220199703098098e-17,2.605263e-07,2.220192387212764e-17,2.605263e-07,2.22017058494334e-17,2.605263e-07,2.220191777933407e-17,2.605263e-07,2.220205897891995e-17,2.605263e-07,2.220211868445985e-17,2.605263e-07,2.220229642471711e-17,2.605263e-07,2.220235393956805e-17,2.605263e-07,2.220241069948618e-17,2.605263e-07,2.220246159795522e-17,2.605263e-07,2.220252944426446e-17,2.605263e-07,2.220260854695512e-17,2.605263e-07,2.22026663916935e-17,2.605263e-07,2.220276271915982e-17,2.605263e-07,2.220290145801784e-17,2.605263e-07,2.22028922126554e-17,2.605263e-07,2.220300664220481e-17,2.605263e-07,2.220309494391576e-17
2.657895e-07,2.220229313427242e-17,2.657895e-07,2.220188504595909e-17,2.657895e-07,2.220192715472829e-17,2.657895e-07,2.220187612348099e-17,2.657895e-07,2.220222440204944e-17,2.657895e-07,2.220194675328171e-17,2.657895e-07,2.220232896079491e-17,2.657895e-07,2.220247229961265e-17,2.657895e-07,2.220244555392876e-17,2.657895e-07,2.22025167145194e-17,2.657895e-07,2.220258380483638e-17,2.657895e-07,2.220265221419487e-17,2.657895e-07,2.220264818050158e-17,2.657895e-07,2.220285319989316e-17,2.657895e-07,2.22028687900989e-17,2.657895e-07,2.22029353457889e-17,2.657895e-07,2.220305083119342e-17,2.657895e-07,2.220314613233601e-17,2.657895e-07,2.220324127060953e-17,2.657895e-07,2.220331810085239e-17
2.710526e-07,2.220210354868099e-17,2.710526e-07,2.220234511208052e-17,2.710526e-07,2.220246389583657e-17,2.710526e-07,2.220208826202711e-17,2.710526e-07,2.220235224912717e-17,2.710526e-07,2.220262393201625e-17,2.710526e-07,2.22025665633315e-17,2.710526e-07,2.220251327303817e-17,2.710526e-07,2.220256412633762e-17,2.710526e-07,2.220260114010849e-17,2.710526e-07,2.220269899059476e-17,2.710526e-07,2.220273646493821e-17,2.710526e-07,2.220296589880417e-17,2.710526e-07,2.220297119230175e-17,2.710526e-07,2.220302742275524e-17,2.710526e-07,2.220305097630433e-17,2.710526e-07,2.220311281086694e-17,2.710526e-07,2.220329696007602e-17,2.710526e-07,2.22034820537972e-17,2.710526e-07,2.220364135449381e-17
2.763158e-07,2.220254440743868e-17,2.763158e-07,2.2202469055044e-17,2.763158e-07,2.220240586844335e-17,2.763158e-07,2.220296512131553e-17,2.763158e-07,2.220258318686767e-17,2.763158e-07,2.220301093567863e-17,2.763158e-07,2.22028854571619e-17,2.763158e-07,2.220286265179943e-17,2.763158e-07,2.220274411345748e-17,2.763158e-07,2.220290986645324e-17,2.763158e-07,2.220312108057284e-17,2.763158e-07,2.220305441089368e-17,2.763158e-07,2.220327552218083e-17,2.763158e-07,2.220351443968387e-17,2.763158e-07,2.220357858823945e-17,2.763158e-07,2.220365684749367e-17,2.763158e-07,2.220378553040437e-17,2.763158e-07,2.220319779951181e-17,2.763158e-07,2.220329627801137e-17,2.763158e-07,2.220333772860888e-17
2.815789e-07,2.220262569331661e-17,2.815789e-07,2.220251142334873e-17,2.815789e-07,2.220267487635393e-17,2.815789e-07,2.220273165477279e-17,2.815789e-07,2.220284607070794e-17,2.815789e-07,2.220313113406907e-17,2.815789e-07,2.220306195102072e-17,2.815789e-07,2.220316181132953e-17,2.815789e-07,2.220315824664145e-17,2.815789e-07,2.220354062913846e-17,2.815789e-07,2.220286292083146e-17,2.815789e-07,2.220288349834682e-17,2.815789e-07,2.220300376963433e-17,2.815789e-07,2.220310075133082e-17,2.815789e-07,2.220315285275397e-17,2.815789e-07,2.220321107443483e-17,2.815789e-07,2.220330809752508e-17,2.815789e-07,2.220336745276701e-17,2.815789e-07,2.220399399949292e-17,2.815789e-07,2.22040334023336e-17
2.868421e-07,2.220290374891199e-17,2.868421e-07,2.220283939938643e-17,2.868421e-07,2.22032070245312e-17,2.868421e-07,2.220323982745487e-17,2.868421e-07,2.220286008364218e-17,2.868421e-07,2.220347595615209e-17,2.868421e-07,2.220322535178457e-17,2.868421e-07,2.220333552685998e-17,2.868421e-07,2.220323788588242e-17,2.868421e-07,2.220333622868079e-17,2.868421e-07,2.220346558174937e-17,2.868421e-07,2.220350011652274e-17,2.868421e-07,2.220360321218182e-17,2.868421e-07,2.220368582438293e-17,2.868421e-07,2.220373922078908e-17,2.868421e-07,2.220387652978411e-17,2.868421e-07,2.220397658111341e-17,2.868421e-07,2.220404689347249e-17,2.868421e-07,2.22041100451246e-17,2.868421e-07,2.220411163330159e-17
2.921053e-07,2.220307214437923e-17,2.921053e-07,2.220315070182757e-17,2.921053e-07,2.220345890141734e-17,2.921053e-07,2.220318591725749e-17,2.921053e-07,2.220333458176128e-17,2.921053e-07,2.22032138797342e-17,2.921053e-07,2.2203389660427e-17,2.921053e-07,2.220331270140882e-17,2.921053e-07,2.22035128873955e-17,2.921053e-07,2.22035533400774e-17,2.921053e-07,2.220331395289956e-17,2.921053e-07,2.220370834588271e-17,2.921053e-07,2.220383987402115e-17,2.921053e-07,2.220391788277255e-17,2.921053e-07,2.220395501049406e-17,2.921053e-07,2.220400792201555e-17,2.921053e-07,2.220410586416898e-17,2.921053e-07,2.220418034790928e-17,2.921053e-07,2.220433632511516e-17,2.921053e-07,2.220440122404102e-17
2.973684e-07,2.220385422440589e-17,2.973684e-07,2.220343210477241e-17,2.973684e-07,2.220382805803914e-17,2.973684e-07,2.220332621938128e-17,2.973684e-07,2.220374475963621e-17,2.973684e-07,2.220379302716533e-17,2.973684e-07,2.220358883795978e-17,2.973684e-07,2.220362852233372e-17,2.973684e-07,2.220408094693468e-17,2.973684e-07,2.220340490253682e-17,2.973684e-07,2.220426724145618e-17,2.973684e-07,2.220396946282442e-17,2.973684e-07,2.220408252047737e-17,2.973684e-07,2.22041505796518e-17,2.973684e-07,2.220419571153349e-17,2.973684e-07,2.220425666721805e-17,2.973684e-07,2.220436610792221e-17,2.973684e-07,2.220445595784917e-17,2.973684e-07,2.220453487173829e-17,2.973684e-07,2.220452670268481e-17
