load_cap(fF)  clk_delay_val(ps)  dout(V)
00011.0000 -0146.0000 00001.0000 
00011.0000 -0142.3500 00001.0000 
00011.0000 -0138.7000 00001.0000 
00011.0000 -0135.0500 00001.0000 
00011.0000 -0131.4000 00001.0000 
00011.0000 -0127.7500 00001.0000 
00011.0000 -0124.1000 00001.0000 
00011.0000 -0120.4500 00001.0000 
00011.0000 -0116.8000 00001.0000 
00011.0000 -0113.1500 00001.0000 
00011.0000 -0109.5000 00001.0000 
00011.0000 -0105.8500 00001.0000 
00011.0000 -0102.2000 00001.0000 
00011.0000 -0098.5500 00001.0000 
00011.0000 -0094.9000 00001.0000 
00011.0000 -0091.2500 00001.0000 
00011.0000 -0087.6000 00001.0000 
00011.0000 -0083.9500 00001.0000 
00011.0000 -0080.3000 00001.0000 
00011.0000 -0076.6500 00001.0000 
00011.0000 -0073.0000 00001.0000 
00011.0000 -0069.3500 00001.0000 
00011.0000 -0065.7000 00001.0000 
00011.0000 -0062.0500 00001.0000 
00011.0000 -0058.4000 00001.0000 
00011.0000 -0054.7500 00001.0000 
00011.0000 -0051.1000 00000.0000 
00011.0000 -0047.4500 00000.0000 
00011.0000 -0043.8000 00000.0000 
00011.0000 -0040.1500 00000.0000 
00011.0000 -0036.5000 00000.0000 
00011.0000 -0032.8500 00000.0000 
00011.0000 -0029.2000 00000.0000 
00011.0000 -0025.5500 00000.0000 
00011.0000 -0021.9000 00000.0000 
00011.0000 -0018.2500 00000.0000 
00011.0000 -0014.6000 00000.0000 
00011.0000 -0010.9500 00000.0000 
00011.0000 -0007.3000 00000.0000 
00011.0000 -0003.6500 00000.0000 
00011.0000 -0000.0000 00000.0000 

