load_cap(fF)  clk_delay_val(ps)  o_fall(ns)
00000.0200 00083.3333 000.156697 
00000.0200 00069.4444 000.155932 
00000.0200 00057.8704 000.155354 
00000.0200 00048.2253 000.155371 
00000.0200 00040.1878 000.157014 
00000.0200 00033.4898 000.163213 
00000.0200 00027.9082 000.174159 
00000.0200 00023.2568 000.190804 
00000.0200 00019.3807 000.215051 
00000.0200 00016.1506 000.249312 
00000.0200 00013.4588 000.293539 
00000.0200 00011.2157 000.351745 
00000.0200 00009.3464 000.423407 
00000.0200 00007.7887 000.510458 
00000.0200 00006.4905 000.609431 
00000.0200 00005.4088 000.711500 
00000.0200 00004.5073 000.819662 
00000.0200 00003.7561 000.944447 
00000.0200 00003.1301 001.033734 
00000.0200 00002.6084 001.149572 
00000.0200 00002.1737 001.241626 
00001.2500 00083.3333 000.165602 
00001.2500 00069.4444 000.164744 
00001.2500 00057.8704 000.164149 
00001.2500 00048.2253 000.164156 
00001.2500 00040.1878 000.165821 
00001.2500 00033.4898 000.172059 
00001.2500 00027.9082 000.183058 
00001.2500 00023.2568 000.199775 
00001.2500 00019.3807 000.224146 
00001.2500 00016.1506 000.258722 
00001.2500 00013.4588 000.303370 
00001.2500 00011.2157 000.361989 
00001.2500 00009.3464 000.434708 
00001.2500 00007.7887 000.522474 
00001.2500 00006.4905 000.622524 
00001.2500 00005.4088 000.725689 
00001.2500 00004.5073 000.834799 
00001.2500 00003.7561 000.960372 
00001.2500 00003.1301 001.050772 
00001.2500 00002.6084 001.167633 
00001.2500 00002.1737 001.260381 
00002.5000 00083.3333 000.172933 
00002.5000 00069.4444 000.172085 
00002.5000 00057.8704 000.171492 
00002.5000 00048.2253 000.171501 
00002.5000 00040.1878 000.173158 
00002.5000 00033.4898 000.179419 
00002.5000 00027.9082 000.190423 
00002.5000 00023.2568 000.207173 
00002.5000 00019.3807 000.231605 
00002.5000 00016.1506 000.266212 
00002.5000 00013.4588 000.310957 
00002.5000 00011.2157 000.369851 
00002.5000 00009.3464 000.442464 
00002.5000 00007.7887 000.530830 
00002.5000 00006.4905 000.631137 
00002.5000 00005.4088 000.734800 
00002.5000 00004.5073 000.844211 
00002.5000 00003.7561 000.970336 
00002.5000 00003.1301 001.061206 
00002.5000 00002.6084 001.178388 
00002.5000 00002.1737 001.271598 
00005.0000 00083.3333 000.186766 
00005.0000 00069.4444 000.185916 
00005.0000 00057.8704 000.185327 
00005.0000 00048.2253 000.185335 
00005.0000 00040.1878 000.186996 
00005.0000 00033.4898 000.193256 
00005.0000 00027.9082 000.204276 
00005.0000 00023.2568 000.221045 
00005.0000 00019.3807 000.245503 
00005.0000 00016.1506 000.280145 
00005.0000 00013.4588 000.324909 
00005.0000 00011.2157 000.383876 
00005.0000 00009.3464 000.456684 
00005.0000 00007.7887 000.545047 
00005.0000 00006.4905 000.645518 
00005.0000 00005.4088 000.749325 
00005.0000 00004.5073 000.859073 
00005.0000 00003.7561 000.985422 
00005.0000 00003.1301 001.076481 
00005.0000 00002.6084 001.194252 
00005.0000 00002.1737 001.287841 
00011.0000 00083.3333 000.219307 
00011.0000 00069.4444 000.218472 
00011.0000 00057.8704 000.217886 
00011.0000 00048.2253 000.217899 
00011.0000 00040.1878 000.219574 
00011.0000 00033.4898 000.225815 
00011.0000 00027.9082 000.236856 
00011.0000 00023.2568 000.253626 
00011.0000 00019.3807 000.278078 
00011.0000 00016.1506 000.312726 
00011.0000 00013.4588 000.357483 
00011.0000 00011.2157 000.416395 
00011.0000 00009.3464 000.489338 
00011.0000 00007.7887 000.577577 
00011.0000 00006.4905 000.677967 
00011.0000 00005.4088 000.781788 
00011.0000 00004.5073 000.891479 
00011.0000 00003.7561 001.017764 
00011.0000 00003.1301 001.108913 
00011.0000 00002.6084 001.226482 
00011.0000 00002.1737 001.320148 
00021.0000 00083.3333 000.273419 
00021.0000 00069.4444 000.272586 
00021.0000 00057.8704 000.272033 
00021.0000 00048.2253 000.272025 
00021.0000 00040.1878 000.273731 
00021.0000 00033.4898 000.279962 
00021.0000 00027.9082 000.290972 
00021.0000 00023.2568 000.307729 
00021.0000 00019.3807 000.332185 
00021.0000 00016.1506 000.366794 
00021.0000 00013.4588 000.411530 
00021.0000 00011.2157 000.470417 
00021.0000 00009.3464 000.543285 
00021.0000 00007.7887 000.631596 
00021.0000 00006.4905 000.732002 
00021.0000 00005.4088 000.835521 
00021.0000 00004.5073 000.945085 
00021.0000 00003.7561 001.071439 
00021.0000 00003.1301 001.162324 
00021.0000 00002.6084 001.280042 
00021.0000 00002.1737 001.373337 
00042.0000 00083.3333 000.386962 
00042.0000 00069.4444 000.386134 
00042.0000 00057.8704 000.385566 
00042.0000 00048.2253 000.385584 
00042.0000 00040.1878 000.387267 
00042.0000 00033.4898 000.393501 
00042.0000 00027.9082 000.404499 
00042.0000 00023.2568 000.421251 
00042.0000 00019.3807 000.445684 
00042.0000 00016.1506 000.480265 
00042.0000 00013.4588 000.524969 
00042.0000 00011.2157 000.583725 
00042.0000 00009.3464 000.656781 
00042.0000 00007.7887 000.744815 
00042.0000 00006.4905 000.844945 
00042.0000 00005.4088 000.948722 
00042.0000 00004.5073 001.058226 
00042.0000 00003.7561 001.184154 
00042.0000 00003.1301 001.275341 
00042.0000 00002.6084 001.392627 
00042.0000 00002.1737 001.486043 

